"","salary_max","redirect_url","contract_time","contract_type","longitude","title","created","description","salary_is_predicted","latitude","id","salary_min","location.display_name","company.display_name","category.label","category.tag"
"25",53455,"https://www.adzuna.co.uk/jobs/land/ad/1839885922?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=F969057E0234397217B61DC36579EA7A5D64112E",NA,NA,-1.54641,"<strong>Data</strong> Protection <strong>Analyst</strong>","2020-11-23T12:09:18Z","...  in helping Aldi achieve compliance with <strong>data</strong> protection. We have an exciting opportunity for a <strong>Data</strong> Protection <strong>Analyst</strong> to join the team on a full time permanent basis. Working within ... In this varied role, you'll have a high degree of responsibility leading International and National <strong>data</strong> protection projects, and working closely with the business to provide ...","0",52.577301,"1839885922",46405,"Atherstone, Warwickshire","Aldi Stores","IT Jobs","it-jobs"
"26",32225.86,"https://www.adzuna.co.uk/jobs/details/1835976447?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=FE29F27FE0C7B2A0A094DCBA726A0CF00C91C0B8",NA,NA,-3.327942,"<strong>Statistician</strong> - Senior <strong>Statistician</strong>","2020-11-21T00:49:16Z","...  customers get new medicines to market. The Role Due to our continued growth and success we have an excellent career opportunity for a talented <strong>Statistician</strong> to join our <strong>Data</strong> Sciences ... , real time GMP manufacturing and clinical testing and <strong>data</strong> sciences. We pride ourselves on the quality of our services and our engaged culture. We are passionate about helping our ...","1",55.943116,"1835976447",32225.86,"Edinburgh, Scotland","Quotient Sciences","Scientific & QA Jobs","scientific-qa-jobs"
"27",35750,"https://www.adzuna.co.uk/jobs/land/ad/1843006436?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=F8FAF456CEFF48765759E8C81F49628AE9AF9BA8",NA,NA,-0.88565,"<strong>Statistician</strong>","2020-11-25T02:24:46Z","...  scientific work and communications from stakeholders across the Mars Petcare to guarantee quality and corporate reputation. The Job The <strong>statistician</strong> position is embedded in the <strong>data</strong> ... <strong>Statistician</strong> The WALTHAM Petcare Science Institute is Mars Petcare's fundamental science centre that drives quality and innovation for our global brands in pet nutrition, pet ...","0",52.764301,"1843006436",35750,"Melton Mowbray, Leicestershire","Adecco","Scientific & QA Jobs","scientific-qa-jobs"
"28",42582.66,"https://www.adzuna.co.uk/jobs/details/1834250533?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=4814AA10E1C35BB0A5EC6459997BD023E4C0428E",NA,NA,-0.88565,"<strong>Statistician</strong>","2020-11-20T01:13:24Z","...  scientific work and communications from stakeholders across the Mars Petcare to guarantee quality and corporate reputation. The Job The <strong>statistician</strong> position is embedded in the <strong>data</strong> ... <strong>Statistician</strong> The WALTHAM Petcare Science Institute is Mars Petcare's fundamental science centre that drives quality and innovation for our global brands in pet nutrition, pet ...","1",52.764301,"1834250533",42582.66,"Melton Mowbray, Leicestershire","Adecco UK","Scientific & QA Jobs","scientific-qa-jobs"
"29",35750,"https://www.adzuna.co.uk/jobs/details/1843238693?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=9397FA0ABC85EC29F4B1620EDDC161D30FA59F18",NA,NA,-0.88565,"<strong>Statistician</strong>","2020-11-25T05:21:27Z","...  scientific work and communications from stakeholders across the Mars Petcare to guarantee quality and corporate reputation. The Job The <strong>statistician</strong> position is embedded in the <strong>data</strong> ... <strong>Statistician</strong> The WALTHAM Petcare Science Institute is Mars Petcare's fundamental science centre that drives quality and innovation for our global brands in pet nutrition, pet ...","0",52.764301,"1843238693",0,"Melton Mowbray, Leicestershire","Adecco","Scientific & QA Jobs","scientific-qa-jobs"
"30",38000,"https://www.adzuna.co.uk/jobs/details/998681480?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=495929B174C0A2655975C970452D454DE43B78FE","full_time",NA,-0.139134,"<strong>Statistician</strong>","2018-11-02T10:00:50Z","...  opportunity for a <strong>Statistician</strong> to join our friendly and collaborative team. The successful candidate will play a key role in shaping the future of Costello Medical’s Statistics team ...  and service offering. Our Statistics team provide statistical and analytical expertise across Costello Medical, devising statistical analysis plans and performing <strong>data</strong> analysis within Excel ...","0",51.503378,"998681480",32000,"London, UK","Costello Medical","Scientific & QA Jobs","scientific-qa-jobs"
"31",35750,"https://www.adzuna.co.uk/jobs/land/ad/1844622408?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=7D5891E372792B5141363681036E0D4CCB5B6323",NA,NA,-0.277862,"<strong>Statistician</strong>","2020-11-25T22:31:41Z","I have a fantastic opportunity for a <strong>Statistician</strong> to join a major FMCG company based in Waltham. 12 month contract £18.62 per hour 37.5 hours per week The Role: Quality assurance ...  of statistical aspects of scientific research projects Design experiments Optimal use of resources whilst meeting ethical standards Analyse experimental <strong>data</strong> and deliver reports, publications ...","0",53.126289,"1844622408",35750,"Lincolnshire, East Midlands","Adecco","IT Jobs","it-jobs"
"32",35750,"https://www.adzuna.co.uk/jobs/details/1845125916?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=E8B7549CB50287AE789092FC9F5259BA76673E3F",NA,NA,-0.075187,"<strong>Statistician</strong>","2020-11-26T05:19:08Z","I have a fantastic opportunity for a <strong>Statistician</strong> to join a major FMCG company based in Waltham. 12 month contract £18.62 per hour 37.5 hours per week The Role: Quality assurance ...  of statistical aspects of scientific research projects Design experiments Optimal use of resources whilst meeting ethical standards Analyse experimental <strong>data</strong> and deliver reports, publications ...","0",53.565399,"1845125916",0,"Grimsby, North East Lincolnshire","Adecco","IT Jobs","it-jobs"
"33",31064.27,"https://www.adzuna.co.uk/jobs/details/1844854926?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=E93DDF5699F5AB25D9E7FADA6FBE15A1CAEFAFCB",NA,NA,-0.075187,"<strong>Statistician</strong>","2020-11-26T01:15:57Z","I have a fantastic opportunity for a <strong>Statistician</strong> to join a major FMCG company based in Waltham. 12 month contract £18.62 per hour 37.5 hours per week The Role: Quality assurance ...  of statistical aspects of scientific research projects Design experiments Optimal use of resources whilst meeting ethical standards Analyse experimental <strong>data</strong> and deliver reports, publications ...","1",53.565399,"1844854926",31064.27,"Grimsby, North East Lincolnshire","Adecco UK","IT Jobs","it-jobs"
"34",30000,"https://www.adzuna.co.uk/jobs/land/ad/1842192043?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=557D930AFA10DA5ABDD0AA3161611349E996943D",NA,NA,-2.44177,"<strong>Data</strong> Systems <strong>Analyst</strong>","2020-11-24T18:08:19Z","...  Cheshire has a permanent opportunity for a <strong>Data</strong> Systems <strong>Analyst</strong> to join a talented and growing <strong>data</strong> function. The Opportunity Currently this global business is implementing Dynamics 365 ...  across all locations and functions, bringing together <strong>data</strong> from multiple legacy systems. In the <strong>Data</strong> <strong>Analyst</strong> role, you will focus on the monitoring and maintenance of live Microsoft ...","0",53.0951,"1842192043",20000,"Crewe, Cheshire","OCC Computer Personnel Limited","IT Jobs","it-jobs"
"35",21892,"https://www.adzuna.co.uk/jobs/land/ad/1876111901?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=501645462158106514082FC19C4C419AEFEB8309",NA,NA,NA,"<strong>Data</strong> <strong>Analyst</strong> Apprentice","2020-12-11T18:46:09Z","There is no shortage of <strong>data</strong> collected from across the NHS. As a <strong>Data</strong> <strong>Analyst</strong> working for The NHS, you will be part of a large, dynamic team. You will deliver high quality ... , conscientiousness, effectiveness and grit. Future prospects: After your <strong>Data</strong> Analysis Apprenticeship, you can progress into any Junior <strong>Data</strong> <strong>Analyst</strong>, <strong>Data</strong> Scientist and <strong>Data</strong> engineer rol…","0",NA,"1876111901",21892,"Leeds, West Yorkshire","WhiteHat","IT Jobs","it-jobs"
"36",18400,"https://www.adzuna.co.uk/jobs/land/ad/1858295648?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=DCD954FEB53FA6A41BFBEAEBCD1737B1A956BC43",NA,NA,NA,"<strong>Data</strong> <strong>Analyst</strong> Apprentice","2020-12-03T00:33:26Z","-being, self-awareness, motivation, conscientiousness, effectiveness and grit. Future prospect: After your <strong>Data</strong> Analysis Apprenticeship, you can progress into any Junior <strong>Data</strong> <strong>Analyst</strong> ...  an academic or work environment Training provided: Training on the 18 month Standard Level 4 <strong>Data</strong> Analytics (DA4) apprenticeship. Being a WhiteHat apprentice means access to awesome social ...","0",NA,"1858295648",18400,"Milton Keynes, Buckinghamshire","WhiteHat","IT Jobs","it-jobs"
"37",41935.41,"https://www.adzuna.co.uk/jobs/details/1864182974?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=B10ABF64F409A78473A47E96828EFF633798D996","full_time",NA,-0.139134,"<strong>Data</strong> Scientist/ <strong>Statistician</strong>","2020-12-05T21:21:52Z","...  Head of Google UK and Ireland Dan Cobley (Chairman). Your role in our mission We’re looking for an exceptional <strong>Data</strong> Scientist / <strong>Statistician</strong>. Reporting to the Lead <strong>Data</strong> Scientist ... , you’ll support the continuing development and improvement of our decision science capability, with a particular emphasis on enhancing our <strong>data</strong> structures, delivery of key <strong>data</strong> ...","1",51.503378,"1864182974",41935.41,"London, UK","Salary Finance","IT Jobs","it-jobs"
"38",40000,"https://www.adzuna.co.uk/jobs/land/ad/1867942527?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=154A3D7F96831E2FC580DED3EFFC0D6F1EAC3596",NA,NA,NA,"Senior <strong>Data</strong> <strong>Analyst</strong> / BI <strong>Analyst</strong> / <strong>Data</strong> Manager","2020-12-08T01:17:12Z","Senior <strong>Data</strong> <strong>Analyst</strong> / <strong>Data</strong> Manager / Senior BI - Power BI, Excel We are currently seeking a <strong>Data</strong> Manager for a leading organisation in Sheffield. The <strong>Data</strong> Manager ...  and validation of raw <strong>data</strong> from a range of internal and external sources, manage the <strong>data</strong> load process into the enterprise <strong>data</strong> warehouse, and direct <strong>analysts</strong> to ensure <strong>d…","0",NA,"1867942527",0,"Sheffield, South Yorkshire","Lorien Resourcing","IT Jobs","it-jobs"
